432,1,2,0.17971516734803672,100.0
196,1,3,0.1793393611095561,100.0
227,1,4,0.17966231931205628,100.0
261,1,5,0.1792747438059692,83.33333333333334
129,1,6,0.17981219122853556,100.0
242,1,7,0.1791754710952887,100.0
164,1,8,0.17980153211256458,100.0
159,1,9,0.1791045419191109,100.0
74,1,10,0.17926005095628206,100.0
131,1,11,0.17923248331196306,100.0
170,1,12,0.1793715919733781,100.0
185,1,13,0.17960563010309316,100.0
156,1,14,0.17921182008033598,100.0
174,1,15,0.1798255211884619,100.0
114,1,16,0.17911102461164913,100.0
160,1,17,0.1791784040433652,100.0
137,1,18,0.17906678000441392,100.0
234,1,19,0.17972922527199908,83.33333333333334
124,1,20,0.17993606909261378,100.0
